state	year	precinct	precinct_code	g2012_REG_tv	g2012_BALL_tv	cd	ld	sd	g2012_USP_adv	g2012_USP_arv	g2012_USP_atv	g2012_USP_dv	g2012_USP_edv	g2012_USP_erv	g2012_USP_etv	g2012_USP_ldv	g2012_USP_lrv	g2012_USP_ltv	g2012_USP_rv	g2012_USP_tv	g2012_USS_adv	g2012_USS_arv	g2012_USS_atv	g2012_USS_dv	g2012_USS_edv	g2012_USS_erv	g2012_USS_etv	g2012_USS_ldv	g2012_USS_lrv	g2012_USS_ltv	g2012_USS_rv	g2012_USS_tv	g2012_USH_adv	g2012_USH_edv	g2012_USH_ldv	g2012_USH_arv	g2012_USH_erv	g2012_USH_lrv	g2012_USH_atv	g2012_USH_etv	g2012_USH_ltv	g2012_USH_dv	g2012_USH_rv	g2012_USH_tv	g2012_STH_adv	g2012_STH_edv	g2012_STH_ldv	g2012_STH_arv	g2012_STH_erv	g2012_STH_lrv	g2012_STH_atv	g2012_STH_etv	g2012_STH_ltv	g2012_STH_dv	g2012_STH_rv	g2012_STH_tv	g2012_STS_adv	g2012_STS_edv	g2012_STS_ldv	g2012_STS_arv	g2012_STS_erv	g2012_STS_lrv	g2012_STS_atv	g2012_STS_etv	g2012_STS_ltv	g2012_STS_dv	g2012_STS_rv	g2012_STS_tv
"HI"	2012	"23-02"	120	5004	2887	1	23	11	848	249	1108	2168	180	59	240	1140	328	1520	636	2868	739	346	1085	1895	155	83	238	1001	477	1478	906	2801	688	154	907	395	85	539	1083	239	1446	1749	1019	2768	774	159	995	191	56	308	965	215	1303	1928	555	2483	854	173	1090	168	50	277	1022	223	1367	2117	495	2612
"HI"	2012	"23-03"	121	603	375	1	23	12	89	31	120	271	33	9	42	149	51	208	91	370	75	45	120	234	26	17	43	133	75	208	137	371	62	31	122	57	12	82	119	43	204	215	151	366	86	32	138	21	8	40	107	40	178	256	69	325	78	35	122	32	5	59	110	40	181	235	96	331
"HI"	2012	"23-04"	122	4101	2908	1	23	11	829	305	1150	2094	155	39	200	1110	387	1539	731	2889	661	455	1116	1784	144	55	199	979	524	1503	1034	2818	648	132	910	485	64	580	1133	196	1490	1690	1129	2819	836	145	1080	195	36	279	1031	181	1359	2061	510	2571	904	159	1182	171	32	251	1075	191	1433	2245	454	2699
"HI"	2012	"23-05"	123	5388	4105	1	23	11	1404	429	1850	3062	188	56	247	1470	479	1982	964	4079	1239	587	1826	2708	171	73	244	1298	665	1963	1325	4033	1136	164	1183	689	79	764	1825	243	1947	2483	1532	4015	1497	184	1477	238	45	294	1735	229	1771	3158	577	3735	1541	194	1595	237	39	272	1778	233	1867	3330	548	3878
"HI"	2012	"24-01"	124	2524	1551	1	24	12	549	182	738	1121	108	41	149	464	172	654	395	1541	469	271	740	959	94	53	147	396	248	644	572	1531	421	86	372	306	60	263	727	146	635	879	629	1508	463	91	390	182	45	176	645	136	566	944	403	1347	450	101	366	188	34	201	638	135	567	917	423	1340
"HI"	2012	"24-02"	125	4665	2915	1	24	11	929	363	1310	2095	214	61	279	952	311	1299	735	2888	777	519	1296	1797	185	93	278	835	452	1287	1064	2861	715	189	730	573	93	524	1288	282	1254	1634	1190	2824	786	192	775	373	70	362	1159	262	1137	1753	805	2558	930	219	916	279	46	260	1209	265	1176	2065	585	2650
"HI"	2012	"24-03"	126	3729	2457	1	24	11	649	274	936	1698	152	59	218	897	360	1287	693	2441	528	399	927	1424	126	88	214	770	505	1275	992	2416	500	121	707	417	89	540	917	210	1247	1328	1046	2374	639	148	790	221	56	364	860	204	1154	1577	641	2218	657	153	852	190	51	295	847	204	1147	1662	536	2198
"HI"	2012	"24-04"	127	2692	1726	1	24	11	488	154	650	1269	128	44	174	653	218	893	416	1717	426	214	640	1109	114	60	174	569	311	880	585	1694	393	110	511	244	64	360	637	174	871	1014	668	1682	434	117	542	165	50	270	599	167	812	1093	485	1578	489	124	645	105	43	171	594	167	816	1258	319	1577
"HI"	2012	"25-01"	128	363	243	1		11	174	57	235	178	4	3	7	0	0	0	60	242	151	82	233	156	5	2	7	0	0	0	84	240	151	2	0	83	5	0	234	7	0	153	88	241													174	2	0	40	3	0	214	5	0	176	43	219
"HI"	2012	"25-02"	129	5219	3312	1		11	962	368	1355	2386	303	98	410	1121	360	1526	826	3291	858	479	1337	2089	272	135	407	959	545	1504	1159	3248	806	262	876	541	143	613	1347	405	1489	1944	1297	3241													955	296	1043	281	82	320	1236	378	1363	2294	683	2977
