state	year	county	precinct	g2012_REG_tv	g2012_USP_adv	g2012_USP_arv	g2012_USP_atv	g2012_USP_dv	g2012_USP_edv	g2012_USP_erv	g2012_USP_etv	g2012_USP_ldv	g2012_USP_lrv	g2012_USP_ltv	g2012_USP_pdv	g2012_USP_prv	g2012_USP_ptv	g2012_USP_rv	g2012_USP_tv	cd	g2012_USH_lrv	g2012_USH_arv	g2012_USH_erv	g2012_USH_prv	g2012_USH_rv	g2012_USH_ldv	g2012_USH_adv	g2012_USH_edv	g2012_USH_pdv	g2012_USH_dv	g2012_USH_tv	cd2	g2012_REG_tv2	g2012_USH_lrv2	g2012_USH_arv2	g2012_USH_erv2	g2012_USH_prv2	g2012_USH_rv2	g2012_USH_ldv2	g2012_USH_adv2	g2012_USH_edv2	g2012_USH_pdv2	g2012_USH_dv2	g2012_USH_tv2	cd3	g2012_REG_tv3	g2012_USH_lrv3	g2012_USH_arv3	g2012_USH_erv3	g2012_USH_prv3	g2012_USH_rv3	g2012_USH_ldv3	g2012_USH_adv3	g2012_USH_edv3	g2012_USH_pdv3	g2012_USH_dv3	g2012_USH_tv3	cd4	g2012_REG_tv4	g2012_USH_lrv4	g2012_USH_arv4	g2012_USH_erv4	g2012_USH_prv4	g2012_USH_rv4	g2012_USH_ldv4	g2012_USH_adv4	g2012_USH_edv4	g2012_USH_pdv4	g2012_USH_dv4	g2012_USH_tv4	ld	g2012_STH_lrv	g2012_STH_arv	g2012_STH_erv	g2012_STH_prv	g2012_STH_rv	g2012_STH_ldv	g2012_STH_adv	g2012_STH_edv	g2012_STH_pdv	g2012_STH_dv	g2012_STH_tv	ld2	g2012_STH_lrv2	g2012_STH_arv2	g2012_STH_erv2	g2012_STH_prv2	g2012_STH_rv2	g2012_STH_ldv2	g2012_STH_adv2	g2012_STH_edv2	g2012_STH_pdv2	g2012_STH_dv2	g2012_STH_tv2	ld3	g2012_STH_lrv3	g2012_STH_arv3	g2012_STH_erv3	g2012_STH_prv3	g2012_STH_rv3	g2012_STH_ldv3	g2012_STH_adv3	g2012_STH_edv3	g2012_STH_pdv3	g2012_STH_dv3	g2012_STH_tv3	sd	g2012_STS_lrv	g2012_STS_arv	g2012_STS_erv	g2012_STS_prv	g2012_STS_rv	g2012_STS_ldv	g2012_STS_adv	g2012_STS_edv	g2012_STS_pdv	g2012_STS_dv	g2012_STS_tv	sd2	g2012_STS_lrv2	g2012_STS_arv2	g2012_STS_erv2	g2012_STS_prv2	g2012_STS_rv2	g2012_STS_ldv2	g2012_STS_adv2	g2012_STS_edv2	g2012_STS_pdv2	g2012_STS_dv2	g2012_STS_tv2	sd3	g2012_STS_lrv3	g2012_STS_arv3	g2012_STS_erv3	g2012_STS_prv3	g2012_STS_rv3	g2012_STS_ldv3	g2012_STS_adv3	g2012_STS_edv3	g2012_STS_pdv3	g2012_STS_dv3	g2012_STS_tv3
"GA"	2012	"Floyd"	"ALTO PARK"	2565	32	106	140	410	184	808	1000	189	549	751	5	7	12	1470	1903	14	518	106	756	6	1386	197	27	188	5	417	1803																																								13	620	115	835	10	1580						1580																									52	622	115	832	10	1579						1579																								
"GA"	2012	"Floyd"	"ARMUCHEE"	926	4	14	18	109	40	189	231	65	357	423	0	0	0	560	672	14	318	14	179	0	511	79	3	42	0	124	635																																								12	248	8	130	0	386	168	8	96	0	272	658																									52	368	12	183	0	563						563																								
"GA"	2012	"Floyd"	"BARKERS"	1814	7	33	40	223	80	471	555	130	532	675	6	19	25	1055	1295	14	495	28	427	17	967	131	12	96	6	245	1212																																								14	551	35	465	22	1073						1073																									52	566	37	477	24	1104						1104																								
"GA"	2012	"Floyd"	"CAVE SPRING"	1294	5	29	34	251	49	97	147	196	521	735	1	1	3	648	919	14	489	27	95	0	611	203	5	48	3	259	870																																								12	408	23	83	0	514	313	11	60	3	387	901																									52	599	29	120	3	751						751																								
"GA"	2012	"Floyd"	"CHULIO"	904	1	10	11	144	46	192	241	97	318	421	0	5	5	525	678	14	302	10	171	4	487	92	1	56	0	149	636																																								14	345	10	189	4	548						548																									52	348	10	199	3	560						560																								
"GA"	2012	"Floyd"	"EAST LINDALE"	2769	24	61	86	490	226	709	947	240	715	975	0	2	2	1487	2010	14	678	59	669	2	1408	240	22	229	0	491	1899																																								13	820	63	780	2	1665						1665																									52	820	65	783	2	1670						1670																								
"GA"	2012	"Floyd"	"EAST ROME"	3435	63	97	161	1043	503	670	1181	476	504	993	1	2	3	1273	2338	14	488	87	633	1	1209	423	64	483	1	971	2180																																								13	730	113	822	1	1666						1666																									52	712	110	823	1	1646						1646																								
"GA"	2012	"Floyd"	"ETOWAH"	3909	62	94	158	663	358	1253	1626	242	882	1147	1	7	9	2236	2940	14	787	92	1170	6	2055	287	58	365	2	712	2767																																								14	945	102	1321	8	2376						2376																									52	985	105	1358	8	2456						2456																								
"GA"	2012	"Floyd"	"EVERETT SPRINGS"	307	5	3	8	43	6	30	36	32	166	206	0	1	1	200	251	14	157	3	26	1	187	35	5	7	0	47	234																																								12	124	3	29	1	157	73	5	6	0	84	241																									52	177	4	32	1	214						214																								
"GA"	2012	"Floyd"	"FLOYD SPRINGS"	1387	4	26	30	140	40	289	332	96	605	707	0	2	2	922	1071	14	546	24	261	1	832	114	6	46	1	167	999																																								12	413	17	199	1	630	273	14	123	1	411	1041																									52	628	24	274	1	927						927																								
"GA"	2012	"Floyd"	"FOSTERS MILL"	830	5	24	29	106	33	112	145	68	314	385	0	0	0	450	559	14	284	16	98	0	398	83	10	35	0	128	526																																								12	224	14	82	0	320	151	15	60	0	226	546																									52	339	26	124	0	489						489																								
