state	year	town	cd	cd2	g2010_ATG_dv	g2010_ATG_rv	g2010_ATG_tv	g2010_COM_dv	g2010_COM_tv	g2010_COM_rv	g2010_GOV_dv	g2010_GOV_tv	g2010_GOV_rv	g2010_SOS_dv	g2010_SOS_rv	g2010_SOS_tv	g2010_TRE_dv	g2010_TRE_rv	g2010_TRE_tv	g2010_USH_dv	g2010_USH_dv2	g2010_USH_tv	g2010_USH_tv2	g2010_USH_rv	g2010_USH_rv2	g2010_USS_dv	g2010_USS_rv	g2010_USS_tv
"CT"	2010	"Portland"	1		2004	1606	3734	1918	3640	1541	1776	3866.0	1974	1926	1648	3739	2026	1605	3745	2130		3796.0		1561		2020	1768	3862.0
"CT"	2010	"Preston"	2		799	881	1750	790	1712	817	788	1843.0	987	834	846	1776	858	835	1766	1086		1836.0		701		928	851	1839.0
"CT"	2010	"Prospect"	3		1397	2293	3875	1437	3790	2151	1256	3994.0	2594	1410	2244	3869	1487	2238	3890	1630		3939.0		2178		1434	2443	4018.0
"CT"	2010	"Putnam"	2		1116	1063	2359	1162	2295	919	1064	2450.0	1244	1218	953	2375	1234	965	2367	1240		2433.0		1068		1213	1095	2476.0
"CT"	2010	"Redding"	4		1856	2082	4074	1764	4013	2047	1886	4178.0	2211	1887	2002	4067	1850	2065	4055	2094		4174.0		2021		2094	1988	4188.0
"CT"	2010	"Ridgefield"	4		4234	5575	10074	3797	9882	5652	4084	10364.0	6102	4084	5576	10030	3992	5718	10007	4634		10349.0		5576		4457	5677	10409.0
"CT"	2010	"Rocky Hill"	1		3772	2926	6926	3617	6804	2898	3313	7128.0	3670	3579	3047	6946	3668	3103	6965	3815		7031.0		3027		3788	3208	7160.0
"CT"	2010	"Roxbury"	5		518	607	1161	516	1147	582	511	1201.0	654	548	569	1160	552	569	1161	592		1193.0		582		580	590	1198.0
"CT"	2010	"Salem"	2		786	741	1600	793	1551	660	720	1664.0	890	794	728	1610	824	711	1609	967		1659.0		641		822	781	1661.0
"CT"	2010	"Salisbury"	5		1035	589	1709	1041	1691	547	1058	1762.0	652	1099	525	1714	1091	531	1714	1222		1762.0		492		1154	566	1774.0
"CT"	2010	"Scotland"	2		273	349	665	303	648	298	267	698.0	396	311	313	669	314	310	669	344		692.0		305		330	340	702.0
"CT"	2010	"Seymour"	3		2425	2657	5303	2437	5182	2455	2178	5513.0	3171	2410	2623	5322	2483	2621	5322	2887		5473.0		2393		2710	2733	5564.0
"CT"	2010	"Sharon"	5		624	506	1188	641	1174	461	632	1210.0	536	652	462	1182	646	477	1183	743		1212.0		431		699	481	1220.0
"CT"	2010	"Shelton"	4	3	5591	7618	13698	5220	13432	7591	5194	13921.0	8601	5507	7642	13769	5553	7628	13657	3736	1668	10879.0	3232	7026	1457	6384	7472	14165.0
"CT"	2010	"Sherman"	5		663	867	1599	648	1574	843	649	1648.0	959	693	827	1592	677	846	1593	816		1647.0		797		744	856	1652.0
"CT"	2010	"Simsbury"	5		5324	5163	10853	4725	10538	5288	4368	11108.0	6459	4864	5432	10777	5037	5479	10845	5656		11033.0		5149		5250	5556	11123.0
"CT"	2010	"Somers"	2		1375	2178	3717	1364	3607	2035	1251	3872.0	2487	1455	2072	3733	1529	2048	3736	1673		3850.0		2053		1495	2220	3891.0
"CT"	2010	"South Windsor"	1		5306	4413	10244	5218	10071	4186	4824	10668.0	5407	5314	4423	10344	5468	4377	10371	6029		10638.0		4131		5618	4621	10770.0
"CT"	2010	"Southbury"	5		3289	4956	8568	3236	8384	4729	3198	8783.0	5352	3412	4750	8549	3395	4786	8529	3715		8736.0		4785		3610	4970	8831.0
"CT"	2010	"Southington"	1		7515	7761	16047	7346	15458	7196	6764	16545.0	9211	7537	7679	16067	7911	7551	16154	7918		16161.0		7596		8104	7978	16647.0
"CT"	2010	"Sprague"	2		532	519	1123	555	1113	466	482	1163.0	622	552	481	1130	572	479	1135	661		1165.0		430		585	531	1175.0
"CT"	2010	"Stafford"	2		1991	1938	4191	2089	4076	1662	1916	4419.0	2293	2155	1738	4209	2177	1776	4219	2447		4397.0		1740		2142	2047	4428.0
"CT"	2010	"Stamford"	4		17903	11853	30895	15863	29271	11721	19018	33464.0	13779	17215	12308	31086	16565	12962	30668	19752		33038.0		12757		19299	13861	33931.0
"CT"	2010	"Sterling"	2		383	550	1007	406	984	498	350	1041.0	629	446	490	1015	440	504	1009	483		1038.0		503		422	567	1038.0
"CT"	2010	"Stonington"	2		3881	3107	7291	3861	7138	2844	3673	7533.0	3596	3890	3031	7303	4033	2933	7270	4868		7554.0		2420		4407	2786	7495.0
"CT"	2010	"Stratford"	3		8983	7460	16996	8403	16627	7429	8968	17523.0	8183	8636	7579	16907	8868	7560	16967	10344		17431.0		6599		10086	7232	17726.0
"CT"	2010	"Suffield"	2		2197	2890	5283	2122	5150	2741	1914	5493.0	3412	2258	2769	5300	2445	2683	5341	2541		5445.0		2731		2364	2962	5505.0
"CT"	2010	"Thomaston"	5		1113	1608	2856	1142	2785	1492	968	2952.0	1864	1209	1507	2858	1271	1492	2873	1385		2941.0		1470		1190	1685	2977.0
"CT"	2010	"Thompson"	2		1177	1351	2762	1237	2712	1184	1174	2912.0	1561	1336	1198	2784	1412	1263	2898	1358		2892.0		1360		1235	1490	2947.0
"CT"	2010	"Tolland"	2		3046	2971	6335	2963	6133	2822	2814	6472.0	3422	3086	2853	6288	3112	2927	6291	3608		6428.0		2608		3157	3074	6459.0
"CT"	2010	"Torrington"	1	5	4748	5719	10976	4794	10728	5315	4353	11402.0	6613	4760	5608	10991	5128	5415	11012	2333	2930	5611.0	5550	3053	2464	4820	6230	11460.0
"CT"	2010	"Trumbull"	4		5914	7656	14131	5508	13927	7662	5878	14617.0	8299	5841	7570	14085	5491	8123	14187	6419		14508.0		7713		6671	7522	14669.0
"CT"	2010	"Union"	2		166	235	418	166	397	205	163	437.0	252	190	210	423	189	209	418	204		433.0		219		171	239	435.0
"CT"	2010	"Vernon"	2		4851	3924	9298	4716	9099	3752	4290	9558.0	4846	4767	3950	9301	5017	3870	9363	5829		9594.0		3370		5035	4126	9618.0
"CT"	2010	"Voluntown"	2		353	441	860	373	838	389	347	892.0	494	407	374	861	404	391	859	471		898.0		381		400	445	904.0
"CT"	2010	"Wallingford"	3		7440	6883	15142	7376	14698	6276	6931	15865.0	8240	5342	9560	15684	7458	6972	15216	8865		15772.0		6052		8322	6945	16001.0
"CT"	2010	"Warren"	5		273	333	634	260	625	327	252	643.0	367	300	302	636	298	303	631	305		642.0		318		294	331	646.0
"CT"	2010	"Washington"	5		801	697	1597	801	1557	648	795	1651.0	802	844	645	1597	833	663	1589	928		1639.0		665		886	717	1658.0
"CT"	2010	"Waterbury"	5	3	10836	8333	20335	11293	20189	7572	10779	21526.0	9607	11039	7946	20572	11854	7620	20660	9103	1860	17334.0	3903	7418	1864	11068	9561	21661.0
"CT"	2010	"Waterford"	2		3920	3124	7411	3847	7243	2978	3581	7713.0	3777	3865	3183	7441	4008	3085	7430	4962		7711.0		2417		4222	3126	7722.0
"CT"	2010	"Watertown"	5		2758	5006	8275	2931	8118	4573	2719	8590.0	5488	3072	4651	8333	3305	4533	8321	3458		8526.0		4754		3092	5252	8669.0
"CT"	2010	"West Hartford"	1		15982	7876	25077	14761	24428	8168	14634	25842.0	10157	14599	8984	24950	15131	8718	25067	15758		25308.0		8370		15936	8590	25809.0
"CT"	2010	"West Haven"	3		8319	3853	12914	8175	12754	3702	7828	13488.0	4995	7977	4185	13015	8180	4055	12988	8984		13454.0		3629		8582	4248	13673.0
